Time,Sun,Mon,Tue,Wed,Thu,Fri,Sat
12:00 AM,40 km/h,42 km/h,42 km/h,42 km/h,42 km/h,42 km/h,40 km/h
02:00 AM,42 km/h,43 km/h,43 km/h,43 km/h,43 km/h,43 km/h,41 km/h
04:00 AM,42 km/h,44 km/h,44 km/h,44 km/h,44 km/h,44 km/h,42 km/h
06:00 AM,42 km/h,45 km/h,45 km/h,45 km/h,45 km/h,45 km/h,44 km/h
08:00 AM,40 km/h,32 km/h,26 km/h,27 km/h,27 km/h,33 km/h,40 km/h
10:00 AM,39 km/h,29 km/h,28 km/h,29 km/h,30 km/h,31 km/h,38 km/h
12:00 PM,38 km/h,33 km/h,32 km/h,33 km/h,33 km/h,33 km/h,37 km/h
02:00 PM,36 km/h,32 km/h,31 km/h,32 km/h,31 km/h,31 km/h,35 km/h
04:00 PM,35 km/h,31 km/h,30 km/h,30 km/h,30 km/h,30 km/h,34 km/h
06:00 PM,35 km/h,27 km/h,26 km/h,26 km/h,26 km/h,27 km/h,34 km/h
08:00 PM,35 km/h,24 km/h,24 km/h,24 km/h,25 km/h,30 km/h,34 km/h
10:00 PM,35 km/h,31 km/h,29 km/h,30 km/h,30 km/h,31 km/h,35 km/h
